Date,Currency,Campaign Name,Attribution type,Purchased ASIN,"14 Day Total Sales ",14 Day Total Orders (#),14 Day Total Units (#),14 Day New-to-brand Sales,14 Day New-to-brand Orders (#),14 Day New-to-brand Units (#),14 Day % of Sales New-to-brand,14 Day % of Orders New-to-brand,14 Day % of Units New-to-brand,Cost type,14 Day Total Sales - (Click),14 Day Total Orders (#) - (Click),14 Day Total Units (#) - (Click)
"Feb 1, 2026",AUD,SB_smoke lens sunglasses_$1.44_01021010,Promoted,B0F1D4F97T,$39.5,1,1,$39.5,1,1,100.00%,100.00%,100.00%,CPC,$39.5,1,1
"Feb 1, 2026",AUD,SB_BROAD_secure glasses holder_112625,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 1, 2026",AUD,SB_river sunglasses strap_$0.88_01020940,Promoted,B0FD3LHYMN,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 1, 2026",AUD,SB_nylon sunglasses strap_$0.88_01020940,Promoted,B0FD3PMPVC,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 1, 2026",AUD,SB_BROAD_safety glasses polarised_111825,Promoted,B01N3OVRWE,$64.5,1,1,$64.5,1,1,100.00%,100.00%,100.00%,CPC,$64.5,1,1
"Feb 1, 2026",AUD,SB_BROAD_eyewear retainer_120425,Promoted,B0FD3PMPVC,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 1, 2026",AUD,SB_BROAD_eyeglass frames_1201_0940,Promoted,B0FD3PMPVC,$15.45,1,1,$15.45,1,1,100.00%,100.00%,100.00%,CPC,$15.45,1,1
"Feb 2, 2026",AUD,SB_BROAD_eyeglass frames_1201_0940,Promoted,B0FD3MZ97V,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 2, 2026",AUD,SB_blue sunglasses strap_$0.88_01020940,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 2, 2026",AUD,SB_BROAD_glasses ear grips_1201_0940,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 3, 2026",AUD,SB_blue sunglasses strap_$0.88_01020940,Promoted,B0FCRLQG4B,$23.98,1,2,$23.98,1,2,100.00%,100.00%,100.00%,CPC,$23.98,1,2
"Feb 3, 2026",AUD,SB_BROAD_eyewear retainer_120425,Promoted,B0FD3PMPVC,$33.98,1,2,$33.98,1,2,100.00%,100.00%,100.00%,CPC,$33.98,1,2
"Feb 3, 2026",AUD,SB-AU-80DAYS SUNGLASSES 150_Clubmaster sunglasses_$1.88_01021115,Promoted,B0F1D2B3FG,$200.0,1,5,$200.0,1,5,100.00%,100.00%,100.00%,CPC,$200.0,1,5
"Feb 3, 2026",AUD,SB_blue sunglasses strap_$0.88_01020940,Promoted,B0FD3PSJG3,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 4, 2026",AUD,SB_BROAD_flat sunglasses holder_112625,Promoted,B0FD3PMPVC,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 4, 2026",AUD,SB_BROAD_plastic glasses_1201_0940,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 4, 2026",AUD,SB_BROAD_safety glasses polarised_111825,Promoted,B0C3GNK3VF,$64.5,1,1,$64.5,1,1,100.00%,100.00%,100.00%,CPC,$64.5,1,1
"Feb 4, 2026",AUD,SB_BROAD_sunglasses holder_1201251,Promoted,B0FD3PMPVC,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 5, 2026",AUD,SB_BROAD_sunglasses lanyard_112125,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 5, 2026",AUD,SB_BROAD_wayfarer sunglasses_1201_0946,Promoted,B09T36PXKX,$49.49,1,1,$49.49,1,1,100.00%,100.00%,100.00%,CPC,$49.49,1,1
"Feb 5, 2026",AUD,SB_BROAD_womens sport shades_1126251,Promoted,B01N3OVRWE,$64.5,1,1,$64.5,1,1,100.00%,100.00%,100.00%,CPC,$64.5,1,1
"Feb 5, 2026",AUD,SB_blue sunglasses strap_$0.88_01020940,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 6, 2026",AUD,SB_BROAD_sunglasses holder_1201251,Promoted,B0FD3PMPVC,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 6, 2026",AUD,SB_BROAD_sunglasses lanyard_112125,Promoted,B0FD3PMPVC,$33.98,2,2,$33.98,2,2,100.00%,100.00%,100.00%,CPC,$33.98,2,2
"Feb 6, 2026",AUD,SB_BROAD_plastic glasses_1201_0940,Promoted,B0FD3LHYMN,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 6, 2026",AUD,SB_BROAD_secure glasses holder_112625,Promoted,B0FD3PMPVC,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 7, 2026",AUD,SB_BROAD_sunglasses lanyard_112125,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 7, 2026",AUD,SB_BROAD_safety glasses_1201_0940,Promoted,B0FD3PMPVC,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 7, 2026",AUD,SB_BROAD_plastic glasses_1201_0940,Promoted,B0FD3PMPVC,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 7, 2026",AUD,SB_BROAD_plastic glasses_1201_0940,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 8, 2026",AUD,SB_BROAD_plastic glasses_1201_0940,Promoted,B0FD3LHYMN,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 9, 2026",AUD,SB_BROAD_glasses lanyard_120425,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 9, 2026",AUD,SB_BROAD_sunglasses holder_1201251,Promoted,B0FD3LHYMN,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 10, 2026",AUD,SB_blue sunglasses strap_$0.88_01020940,Promoted,B0FCRQRHJ8,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 10, 2026",AUD,SB_BROAD_safety glasses_1201_0940,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 11, 2026",AUD,SB-AU-80DAYS SUNGLASSES_Square frame sunglasses_$1.66_01021050,Promoted,B0F1D2B3FG,$40.0,1,1,$40.0,1,1,100.00%,100.00%,100.00%,CPC,$40.0,1,1
"Feb 11, 2026",AUD,SB_BROAD_sunglasses lanyard_112125,Promoted,B0FCRLQG4B,$23.98,1,2,$23.98,1,2,100.00%,100.00%,100.00%,CPC,$23.98,1,2
"Feb 11, 2026",AUD,SB_BROAD_safety glasses_1201_0940,Promoted,B0FD3PSJG3,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 11, 2026",AUD,SB_BROAD_UV400 protection shades_112625,Promoted,B093P2DLLJ,$64.5,1,1,$64.5,1,1,100.00%,100.00%,100.00%,CPC,$64.5,1,1
"Feb 12, 2026",AUD,SB_half frame sunglasses_$1.77_01021025,Promoted,B0F1D3VGX6,$79.0,1,2,$79.0,1,2,100.00%,100.00%,100.00%,CPC,$79.0,1,2
"Feb 12, 2026",AUD,SB_BROAD_flexible sport frame shades_112625,Promoted,B0C3GC6N5W,$64.0,1,1,$64.0,1,1,100.00%,100.00%,100.00%,CPC,$64.0,1,1
"Feb 12, 2026",AUD,SB_BROAD_glasses nose pads_1201_0940,Promoted,B0FCRCZ1HC,$11.99,1,1,$0.0,0,0,0.00%,0.00%,0.00%,CPC,$11.99,1,1
"Feb 12, 2026",AUD,SB_BROAD_high contrast lenses_112625,Promoted,B09T36PXKX,$49.49,1,1,$49.49,1,1,100.00%,100.00%,100.00%,CPC,$49.49,1,1
"Feb 14, 2026",AUD,SB_prada style sunglasses_$1.77_01021025,Promoted,B0F1D2B3FG,$33.5,1,1,$33.5,1,1,100.00%,100.00%,100.00%,CPC,$33.5,1,1
"Feb 14, 2026",AUD,SB_BROAD_sunglasses lanyard_112125,Promoted,B0FD3PSJG3,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 14, 2026",AUD,SB-AU-80DAYS SUNGLASSES 150_Blue lens sunglasses_$1.66_01021115,Promoted,B0F1D3VGX6,$33.5,1,1,$33.5,1,1,100.00%,100.00%,100.00%,CPC,$33.5,1,1
"Feb 15, 2026",AUD,SB_BROAD_sunglasses_1201_0946,Promoted,B09T36PXKX,$49.49,1,1,$49.49,1,1,100.00%,100.00%,100.00%,CPC,$49.49,1,1
"Feb 15, 2026",AUD,SB_BROAD_sunglasses lanyard_112125,Promoted,B0FCRK9JCK,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 15, 2026",AUD,SB_BROAD_safety glasses_1201_0940,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 15, 2026",AUD,SB AU FLUX VENTURA SUNGLASSES_polarized sunglasses men_$2.00_01021155,Promoted,B0CNRJXBYP,$71.82,1,1,$71.82,1,1,100.00%,100.00%,100.00%,CPC,$71.82,1,1
"Feb 15, 2026",AUD,SB_river sunglasses strap_$0.88_01020940,Promoted,B0FCRK9JCK,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 15, 2026",AUD,SB_BROAD_sunglasses_1201_0946,Promoted,B01N3OVRWE,$64.0,1,1,$64.0,1,1,100.00%,100.00%,100.00%,CPC,$64.0,1,1
"Feb 16, 2026",AUD,SB_BROAD_safety glasses polarised_111825,Promoted,B093P2DLLJ,$50.0,1,1,$50.0,1,1,100.00%,100.00%,100.00%,CPC,$50.0,1,1
"Feb 16, 2026",AUD,SB_100 uv protection sunglasses_$1.88_01021025,Promoted,B0F1D3VGX6,$33.5,1,1,$33.5,1,1,100.00%,100.00%,100.00%,CPC,$33.5,1,1
"Feb 16, 2026",AUD,SB_BROAD_sunglasses lanyard_112125,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 17, 2026",AUD,SB_BROAD_safety glasses_1201_0940,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 17, 2026",AUD,SB_BROAD_sunglasses_1201_0946,Promoted,B06XS9FDG6,$54.0,1,1,$54.0,1,1,100.00%,100.00%,100.00%,CPC,$54.0,1,1
"Feb 19, 2026",AUD,SB_BROAD_safety glasses_1201_0940,Promoted,B0FD3LHYMN,$33.98,2,2,$33.98,2,2,100.00%,100.00%,100.00%,CPC,$33.98,2,2
"Feb 20, 2026",AUD,SB_BROAD_sunglasses lanyard_112125,Promoted,B0FD3PSJG3,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 20, 2026",AUD,SB_BROAD_sunglasses retainer_120425,Promoted,B0FCRQRHJ8,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 20, 2026",AUD,SB_BROAD_sunglasses retainer_120425,Promoted,B0FD3PMPVC,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 21, 2026",AUD,SB_BROAD_safety glasses_1201_0940,Promoted,B0FD3MZ97V,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 21, 2026",AUD,SB_BROAD_safety glasses_1201_0940,Promoted,B0FD3PSJG3,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 21, 2026",AUD,SB_BROAD_safety glasses_1201_0940,Promoted,B0FCRQRHJ8,$23.98,2,2,$23.98,2,2,100.00%,100.00%,100.00%,CPC,$23.98,2,2
"Feb 22, 2026",AUD,SB_BROAD_sunglass cord_120425,Promoted,B0FCRLQG4B,$23.98,1,2,$23.98,1,2,100.00%,100.00%,100.00%,CPC,$23.98,1,2
"Feb 22, 2026",AUD,SB_BROAD_safety glasses_1201_0940,Promoted,B0FCRK9JCK,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 22, 2026",AUD,SB_BROAD_safety glasses_1201_0940,Promoted,B0FD3PSJG3,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 22, 2026",AUD,SB_BROAD_safety glasses_1201_0940,Promoted,B0FD3LHYMN,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 22, 2026",AUD,SB_BROAD_safety glasses polarised_111825,Promoted,B093P2DLLJ,$50.0,1,1,$50.0,1,1,100.00%,100.00%,100.00%,CPC,$50.0,1,1
"Feb 22, 2026",AUD,SB_river sunglasses strap_$0.88_01020940,Promoted,B0FD3PSJG3,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 24, 2026",AUD,SB_BROAD_plastic glasses_1201_0940,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 24, 2026",AUD,SB_BROAD_sunglasses retainer_120425,Promoted,B0FD3PSJG3,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 25, 2026",AUD,SB_BROAD_sunglasses lanyard_112125,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 25, 2026",AUD,SB_BROAD_plastic glasses_1201_0940,Promoted,B0FD3MZ97V,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 26, 2026",AUD,SB_BROAD_valentine's day decorative_1201_0940,Promoted,B0FCRLQG4B,$23.98,1,2,$23.98,1,2,100.00%,100.00%,100.00%,CPC,$23.98,1,2
"Feb 26, 2026",AUD,SB_BROAD_safety glasses polarised_111825,Promoted,B093P2DLLJ,$64.5,1,1,$64.5,1,1,100.00%,100.00%,100.00%,CPC,$64.5,1,1
"Feb 27, 2026",AUD,SB_BROAD_valentine's day decorative_1201_0940,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 27, 2026",AUD,SB_BROAD_wayfarer sunglasses_1201_0946,Promoted,B01N3OVRWE,$51.6,1,1,$51.6,1,1,100.00%,100.00%,100.00%,CPC,$51.6,1,1
"Feb 27, 2026",AUD,SB_BROAD_plastic glasses_1201_0940,Promoted,B0FCRLQG4B,$23.98,1,2,$23.98,1,2,100.00%,100.00%,100.00%,CPC,$23.98,1,2
"Feb 28, 2026",AUD,SB_BROAD_safety glasses_1201_0940,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Mar 1, 2026",AUD,SB_BROAD_eyeglass frames_1201_0940,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Mar 2, 2026",AUD,SB_BROAD_plastic glasses_1201_0940,Promoted,B0FCRCZ1HC,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Mar 2, 2026",AUD,SB_BROAD_safety glasses polarised_111825,Promoted,B01KHB8E4A,$51.6,1,1,$51.6,1,1,100.00%,100.00%,100.00%,CPC,$51.6,1,1
"Mar 2, 2026",AUD,SB_BROAD_safety glasses_1201_0940,Promoted,B0FD3PMPVC,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Mar 2, 2026",AUD,SB_BROAD_safety glasses_1201_0940,Promoted,B0FD3PSJG3,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Mar 3, 2026",AUD,SB_BROAD_valentine's day decorative_1201_0940,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Mar 3, 2026",AUD,SB_hexagonal sunglasses_$1.66_01021010,Promoted,B0F1D3VGX6,$39.5,1,1,$39.5,1,1,100.00%,100.00%,100.00%,CPC,$39.5,1,1
"Mar 3, 2026",AUD,SB_BROAD_safety glasses_1201_0940,Promoted,B0FD3PMPVC,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Mar 4, 2026",AUD,SB_BROAD_safety glasses_1201_0940,Promoted,B0FD3PMPVC,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Mar 4, 2026",AUD,SB_BROAD_safety glasses polarised_111825,Promoted,B01N3OVRWE,$51.6,1,1,$51.6,1,1,100.00%,100.00%,100.00%,CPC,$51.6,1,1
"Mar 4, 2026",AUD,SB_BROAD_clear vision sunglasses_112625,Promoted,B0CNRJXBYP,$84.5,1,1,$84.5,1,1,100.00%,100.00%,100.00%,CPC,$84.5,1,1
"Mar 4, 2026",AUD,SB_BROAD_sunglasses chain_1201_0940,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Mar 4, 2026",AUD,SB_BROAD_safety glasses_1201_0940,Promoted,B0FCRCZ1HC,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Mar 4, 2026",AUD,SB_BROAD_valentine's day decorative_1201_0940,Promoted,B0FD3PMPVC,$33.98,2,2,$33.98,2,2,100.00%,100.00%,100.00%,CPC,$33.98,2,2
"Mar 5, 2026",AUD,SB_BROAD_sunglasses lanyard_112125,Promoted,B0FD3PSJG3,$33.98,2,2,$33.98,2,2,100.00%,100.00%,100.00%,CPC,$33.98,2,2
"Mar 5, 2026",AUD,SB_BROAD_safety glasses_1201_0940,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Mar 5, 2026",AUD,SB_BROAD_safety glasses polarised_111825,Promoted,B01N3OVRWE,$51.6,1,1,$51.6,1,1,100.00%,100.00%,100.00%,CPC,$51.6,1,1
"Mar 5, 2026",AUD,SB_BROAD_safety glasses_1201_0940,Promoted,B0FD3PMPVC,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Mar 5, 2026",AUD,SB_quality sunglasses_$1.22_01020945,Promoted,B0F1D2B3FG,$39.5,1,1,$39.5,1,1,100.00%,100.00%,100.00%,CPC,$39.5,1,1
"Mar 5, 2026",AUD,SB_BROAD_glasses lanyard_120425,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Mar 6, 2026",AUD,SB_BROAD_safety glasses_1201_0940,Promoted,B0FD3PMPVC,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Mar 6, 2026",AUD,SB_eyeglass chain_$0.88_01020940,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Mar 6, 2026",AUD,SB_BROAD_valentine's day decorative_1201_0940,Promoted,B0FD3PMPVC,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Mar 7, 2026",AUD,SB_BROAD_sunglasses lanyard_112125,Promoted,B0FD3PMPVC,$33.98,2,2,$33.98,2,2,100.00%,100.00%,100.00%,CPC,$33.98,2,2
"Mar 7, 2026",AUD,SB_eyeglass chain_$0.88_01020940,Promoted,B0FD3PMPVC,$16.99,1,1,$0.0,0,0,0.00%,0.00%,0.00%,CPC,$16.99,1,1
